session_id,variant,converted,revenue,items,upsell,cross_sell
S0001,control,0,0.0,0,0,0
S0002,control,0,0.0,0,0,0
S0003,control,0,0.0,0,0,0
S0004,control,0,0.0,0,0,0
S0005,control,0,0.0,0,0,0
S0006,control,0,0.0,0,0,0
S0007,control,1,38976.75,1,0,0
S0008,control,0,0.0,0,0,0
S0009,control,0,0.0,0,0,0
S0010,control,0,0.0,0,0,0
S0011,control,0,0.0,0,0,0
S0012,control,0,0.0,0,0,0
S0013,control,0,0.0,0,0,0
S0014,control,0,0.0,0,0,0
S0015,control,0,0.0,0,0,0
S0016,control,0,0.0,0,0,0
S0017,control,0,0.0,0,0,0
S0018,control,0,0.0,0,0,0
S0019,control,0,0.0,0,0,0
S0020,control,0,0.0,0,0,0
S0021,control,0,0.0,0,0,0
S0022,control,1,39655.82,1,0,0
S0023,control,0,0.0,0,0,0
S0024,control,0,0.0,0,0,0
S0025,control,0,0.0,0,0,0
S0026,control,0,0.0,0,0,0
S0027,control,1,47699.57,1,0,0
S0028,control,0,0.0,0,0,0
S0029,control,0,0.0,0,0,0
S0030,control,0,0.0,0,0,0
S0031,control,0,0.0,0,0,0
S0032,control,0,0.0,0,0,0
S0033,control,0,0.0,0,0,0
S0034,control,0,0.0,0,0,0
S0035,control,0,0.0,0,0,0
S0036,control,0,0.0,0,0,0
S0037,control,0,0.0,0,0,0
S0038,control,0,0.0,0,0,0
S0039,control,0,0.0,0,0,0
S0040,control,0,0.0,0,0,0
S0041,control,0,0.0,0,0,0
S0042,control,0,0.0,0,0,0
S0043,control,0,0.0,0,0,0
S0044,control,0,0.0,0,0,0
S0045,control,0,0.0,0,0,0
S0046,control,1,42632.39,1,0,0
S0047,control,0,0.0,0,0,0
S0048,control,0,0.0,0,0,0
S0049,control,0,0.0,0,0,0
S0050,control,0,0.0,0,0,0
S0051,control,0,0.0,0,0,0
S0052,control,0,0.0,0,0,0
S0053,control,0,0.0,0,0,0
S0054,control,0,0.0,0,0,0
S0055,control,0,0.0,0,0,0
S0056,control,0,0.0,0,0,0
S0057,control,0,0.0,0,0,0
S0058,control,0,0.0,0,0,0
S0059,control,0,0.0,0,0,0
S0060,control,0,0.0,0,0,0
S0061,control,0,0.0,0,0,0
S0062,control,0,0.0,0,0,0
S0063,control,0,0.0,0,0,0
S0064,control,1,52560.19,1,0,0
S0065,control,0,0.0,0,0,0
S0066,control,1,50212.04,1,0,0
S0067,control,0,0.0,0,0,0
S0068,control,0,0.0,0,0,0
S0069,control,0,0.0,0,0,0
S0070,control,0,0.0,0,0,0
S0071,control,0,0.0,0,0,0
S0072,control,0,0.0,0,0,0
S0073,control,0,0.0,0,0,0
S0074,control,0,0.0,0,0,0
S0075,control,0,0.0,0,0,0
S0076,control,0,0.0,0,0,0
S0077,control,0,0.0,0,0,0
S0078,control,0,0.0,0,0,0
S0079,control,0,0.0,0,0,0
S0080,control,1,39760.09,1,0,0
S0081,control,0,0.0,0,0,0
S0082,control,0,0.0,0,0,0
S0083,control,0,0.0,0,0,0
S0084,control,0,0.0,0,0,0
S0085,control,0,0.0,0,0,0
S0086,control,0,0.0,0,0,0
S0087,control,0,0.0,0,0,0
S0088,control,0,0.0,0,0,0
S0089,control,0,0.0,0,0,0
S0090,control,0,0.0,0,0,0
S0091,control,0,0.0,0,0,0
S0092,control,0,0.0,0,0,0
S0093,control,0,0.0,0,0,0
S0094,control,0,0.0,0,0,0
S0095,control,0,0.0,0,0,0
S0096,control,0,0.0,0,0,0
S0097,control,0,0.0,0,0,0
S0098,control,0,0.0,0,0,0
S0099,control,0,0.0,0,0,0
S0100,control,0,0.0,0,0,0
S0101,control,0,0.0,0,0,0
S0102,control,0,0.0,0,0,0
S0103,control,0,0.0,0,0,0
S0104,control,0,0.0,0,0,0
S0105,control,0,0.0,0,0,0
S0106,control,0,0.0,0,0,0
S0107,control,0,0.0,0,0,0
S0108,control,0,0.0,0,0,0
S0109,control,1,46683.55,1,0,0
S0110,control,1,45156.57,1,0,0
S0111,control,1,36359.22,1,0,0
S0112,control,0,0.0,0,0,0
S0113,control,0,0.0,0,0,0
S0114,control,1,36639.67,1,0,0
S0115,control,0,0.0,0,0,0
S0116,control,0,0.0,0,0,0
S0117,control,0,0.0,0,0,0
S0118,control,0,0.0,0,0,0
S0119,control,0,0.0,0,0,0
S0120,control,0,0.0,0,0,0
S0121,control,0,0.0,0,0,0
S0122,control,0,0.0,0,0,0
S0123,control,0,0.0,0,0,0
S0124,control,0,0.0,0,0,0
S0125,control,0,0.0,0,0,0
S0126,control,0,0.0,0,0,0
S0127,control,0,0.0,0,0,0
S0128,control,1,51342.08,1,0,0
S0129,control,0,0.0,0,0,0
